county_fips,poverty_estimate,poverty_percent,median_household_income,percent_uninsured,population_2022
01001,6 988,"11,8",70 148,,59759
01003,30 195,"12,4",71 704,,246435
01005,5 860,"26,7",41 151,,24706
01007,3 979,"20,0",54 309,,22005
01009,8 022,"13,6",60 553,,59512
01011,2 670,"31,5",35 798,,10202
01013,4 298,"23,4",41 852,,18650
01015,20 308,"18,5",52 772,,115788
01017,6 962,"21,0",45 563,,34088
01019,3 862,"15,5",52 613,,25302
01021,7 158,"15,8",61 823,,45884
01023,2 554,"20,7",44 458,,12439
01025,5 204,"23,5",44 906,,22515
01027,2 371,"17,0",49 599,,14198
01029,2 370,"15,7",49 248,,15346
01031,8 492,"15,7",62 429,,54805
01033,9 962,"17,3",54 593,,58033
01035,3 329,"30,1",36 106,,11206
01037,1 813,"18,1",49 485,,10166
01039,7 071,"19,2",46 958,,37602
01041,2 762,"21,5",49 161,,13025
01043,14 478,"16,2",61 774,,90665
01045,9 965,"20,5",50 567,,49544
01047,11 945,"32,9",35 258,,36767
01049,13 248,"18,7",50 037,,71998
01051,9 779,"11,7",71 463,,89563
01053,7 224,"20,9",47 792,,36666
01055,17 990,"17,7",55 487,,103088
01057,3 092,"19,5",49 205,,16118
01059,5 804,"18,5",49 611,,31932
01061,4 926,"18,6",51 585,,26783
01063,2 206,"30,0",35 449,,7422
01065,3 294,"22,9",44 702,,14595
01067,2 754,"15,8",56 702,,17655
01069,18 465,"17,2",56 842,,108079
01071,8 434,"16,1",51 965,,52891
01073,106 000,"16,4",61 996,,665409
01075,2 457,"18,1",51 523,,13705
01077,12 156,"13,3",59 023,,95878
01079,5 402,"16,4",55 516,,33214
01081,26 211,"15,0",59 637,,180773
01083,10 669,"9,9",83 159,,110900
01085,2 814,"29,4",42 268,,9777
01087,5 351,"32,4",36 601,,18516
01089,44 142,"11,3",80 426,,403565
01091,3 603,"19,5",45 587,,18745
01093,5 004,"17,6",47 742,,29156
01095,16 175,"16,5",53 388,,99423
01097,77 450,"19,2",54 315,,411411
01099,3 963,"20,7",47 498,,19404
01101,39 991,"18,4",56 862,,226361
01103,15 935,"13,1",62 260,,124211
01105,2 714,"35,9",33 585,,8035
01107,4 007,"23,9",45 440,,18697
01109,8 436,"27,4",45 144,,33014
01111,4 435,"20,3",49 433,,22479
01113,12 882,"22,3",45 074,,58555
01115,11 548,"12,6",70 361,,93932
01117,15 339,"6,8",98 263,,230115
01119,3 377,"31,1",35 152,,11853
01121,14 318,"18,3",55 186,,80704
01123,7 107,"17,6",55 270,,40977
01125,36 853,"17,0",60 875,,236780
01127,10 557,"16,7",51 065,,64339
01129,2 493,"16,7",53 785,,15122
01131,2 965,"29,7",33 682,,10059
01133,4 284,"18,3",51 149,,23755
02013,549,"16,2",85 852,,3398
02016,473,"9,7",112 218,,5122
02020,29 127,"10,4",99 162,,287145
02050,3 910,"21,9",59 011,,18257
02060,117,"13,6",96 382,,865
02063,448,"6,7",91 356,,6874
02066,359,"13,9",63 837,,2589
02068,116,"7,3",90 897,,1585
02070,924,"19,7",69 716,,4723
02090,7 117,"7,8",84 166,,95356
02100,210,"10,3",70 610,,2056
02105,399,"17,5",64 181,,2287
02110,2 455,"7,9",102 097,,31685
02122,6 512,"11,0",76 254,,60690
02130,1 164,"8,6",82 648,,13741
02150,921,"7,5",83 222,,12720
02158,2 454,"29,8",41 824,,8278
02164,276,"20,1",63 038,,1381
02170,10 866,"9,8",86 313,,113325
02180,1 909,"19,9",64 480,,9835
02185,1 474,"13,7",95 795,,10805
02188,1 447,"19,7",69 234,,7423
02195,230,"7,1",76 641,,3360
02198,820,"14,6",58 381,,5650
02220,651,"7,9",90 345,,8382
02230,100,"9,3",73 603,,1081
02240,865,"12,5",74 732,,7021
02275,246,"12,0",67 761,,2070
02282,82,"11,7",78 552,,700
02290,1 084,"21,1",47 798,,5179
04001,18 155,"28,2",40 632,,65432
